mic;symbol;isin;date;trading_model_id;open_price;high_price;low_price;last_price;vwap_price;change_prev_close_percentage;num_trades;volume;turnover;price_currency;turnover_currency
XZAG;7CRO;HRICAMFCR102;2026-07-22;CT;40,60;40,60;40,50;40,50;40,557142857143;-0,25;2;21,00000;851,70;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-07-21;CT;40,80;40,80;40,60;40,60;40,782419659735;-0,98;9;1058,00000;43147,80;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-07-20;CT;40,90;41,00;40,90;41,00;40,935526315789;-0,12;3;76,00000;3111,10;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-07-17;CT;41,20;41,20;41,05;41,05;41,156310679612;-0,36;2;103,00000;4239,10;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-07-16;CT;41,40;41,40;41,20;41,20;41,347425828970;-0,36;7;2292,00000;94768,30;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-07-15;CT;41,20;41,35;41,20;41,35;41,311182994455;1,10;8;1623,00000;67048,05;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-07-14;CT;40,80;40,90;40,80;40,90;40,863414634146;0,62;4;328,00000;13403,20;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-07-13;CT;41,10;41,10;40,65;40,65;40,784751773050;-0,85;8;282,00000;11501,30;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-07-10;CT;41,10;41,20;41,00;41,00;41,095659163987;-0,49;5;622,00000;25561,50;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-07-09;CT;41,00;41,20;41,00;41,20;41,150000000000;0,49;2;20,00000;823,00;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-07-08;CT;41,20;41,20;41,00;41,00;41,040987318841;-0,49;6;1104,00000;45309,25;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-07-07;CT;41,20;41,20;41,00;41,20;41,195911949686;0,24;7;636,00000;26200,60;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-07-06;CT;40,90;41,10;40,90;41,10;41,032018209408;0,49;8;659,00000;27040,10;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-07-03;CT;40,70;40,90;40,70;40,90;40,887195902689;0,25;2;781,00000;31932,90;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-07-02;CT;40,90;40,90;40,80;40,80;40,800110741971;0,00;4;903,00000;36842,50;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-07-01;CT;41,20;41,20;40,80;40,80;41,027160493827;-0,37;3;81,00000;3323,20;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-06-30;CT;40,90;40,95;40,90;40,95;40,908333333333;-0,12;2;60,00000;2454,50;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-06-29;CT;41,00;41,05;41,00;41,00;41,039841849148;0,12;6;1644,00000;67469,50;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-06-26;CT;41,00;41,00;40,85;40,95;40,985704387991;0,24;6;433,00000;17746,81;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-06-25;CT;40,90;40,90;40,70;40,85;40,858666666667;0,49;6;225,00000;9193,20;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-06-24;CT;41,10;41,10;40,55;40,65;40,717074829932;0,00;9;5145,00000;209489,35;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-06-23;CT;41,00;41,00;40,60;40,65;40,676863354037;0,12;4;322,00000;13097,95;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-06-19;CT;40,50;40,60;40,50;40,60;40,508553971487;0,57;4;1473,00000;59669,10;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-06-18;CT;40,40;40,45;40,37;40,37;40,389952267303;0,42;4;419,00000;16923,39;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-06-17;CT;40,20;40,20;40,20;40,20;40,200000000000;0,25;1;50,00000;2010,00;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-06-16;CT;40,00;40,10;40,00;40,10;40,025757575758;0,00;3;66,00000;2641,70;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-06-15;CT;39,80;40,20;39,80;40,10;39,983098591549;0,75;5;71,00000;2838,80;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-06-12;CT;39,80;39,80;39,80;39,80;39,800000000000;1,02;4;3725,00000;148255,00;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-06-11;CT;39,40;39,40;39,40;39,40;39,400000000000;0,51;1;3,00000;118,20;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-06-10;CT;39,60;39,60;39,20;39,20;39,381023102310;-0,76;6;606,00000;23864,90;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-06-09;CT;39,20;39,50;39,20;39,50;39,333333333333;1,54;3;27,00000;1062,00;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-06-08;CT;39,40;39,40;38,90;38,90;38,906643356643;-1,52;5;1144,00000;44509,20;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-06-05;CT;39,30;39,50;39,30;39,50;39,487577639752;0,77;4;483,00000;19072,50;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-06-03;CT;39,40;39,60;39,20;39,20;39,494843750000;-0,51;10;640,00000;25276,70;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-06-02;CT;38,80;39,40;38,80;39,40;38,847245762712;1,55;8;472,00000;18335,90;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-06-01;CT;38,20;38,80;38,20;38,80;38,237397634213;1,57;5;1099,00000;42022,90;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-05-29;CT;37,60;38,20;37,60;38,20;38,007056798623;1,57;10;581,00000;22082,10;EUR;EUR
XZAG;7CRO;HRICAMFCR102;2026-05-28;CT;37,90;37,90;37,61;37,61;37,779130434783;-0,50;4;115,00000;4344,60;EUR;EUR
