mic;symbol;isin;date;open_value;high_value;low_value;last_value;change_prev_close_percentage;turnover
XZAG;C10TR;HRZB00ICB103;2026-09-03;3369,89;3371,44;3361,07;3371,44;0,05;659604,88
XZAG;C10TR;HRZB00ICB103;2026-09-02;3358,43;3374,58;3357,54;3369,89;0,34;675915,02
XZAG;C10TR;HRZB00ICB103;2026-09-01;3368,77;3369,45;3355,38;3358,43;-0,41;976499,40
XZAG;C10TR;HRZB00ICB103;2026-08-31;3391,18;3391,18;3372,36;3372,36;-0,55;1065447,88
XZAG;C10TR;HRZB00ICB103;2026-08-28;3352,80;3391,01;3348,23;3391,01;1,14;1137409,90
XZAG;C10TR;HRZB00ICB103;2026-08-27;3371,41;3376,74;3349,41;3352,80;-0,55;979010,86
XZAG;C10TR;HRZB00ICB103;2026-08-26;3371,19;3372,98;3365,49;3371,41;0,19;661150,24
XZAG;C10TR;HRZB00ICB103;2026-08-25;3361,99;3372,40;3355,28;3365,13;0,09;590517,08
XZAG;C10TR;HRZB00ICB103;2026-08-24;3373,73;3376,16;3354,70;3361,99;-0,35;1000331,36
XZAG;C10TR;HRZB00ICB103;2026-08-21;3392,99;3396,13;3369,33;3373,73;-0,57;736474,78
XZAG;C10TR;HRZB00ICB103;2026-08-20;3391,91;3397,91;3383,28;3392,99;0,07;421507,72
XZAG;C10TR;HRZB00ICB103;2026-08-19;3404,08;3409,52;3387,84;3390,69;-0,36;1413163,16
XZAG;C10TR;HRZB00ICB103;2026-08-18;3370,71;3402,86;3364,62;3402,86;0,93;800797,86
XZAG;C10TR;HRZB00ICB103;2026-08-17;3378,85;3378,85;3369,54;3371,53;-0,11;236354,00
XZAG;C10TR;HRZB00ICB103;2026-08-14;3386,03;3391,16;3369,75;3375,21;-0,32;1070380,10
XZAG;C10TR;HRZB00ICB103;2026-08-13;3369,74;3386,06;3369,74;3386,03;0,56;454029,58
XZAG;C10TR;HRZB00ICB103;2026-08-12;3382,48;3388,54;3362,42;3367,27;-0,50;1474068,94
XZAG;C10TR;HRZB00ICB103;2026-08-11;3371,55;3384,06;3359,75;3384,06;0,37;1273142,62
XZAG;C10TR;HRZB00ICB103;2026-08-10;3395,69;3406,07;3371,55;3371,55;-0,57;2327211,30
XZAG;C10TR;HRZB00ICB103;2026-08-07;3397,96;3403,57;3383,74;3390,97;-0,13;3694307,10
XZAG;C10TR;HRZB00ICB103;2026-08-06;3391,76;3404,75;3388,47;3395,53;0,18;1605489,84
XZAG;C10TR;HRZB00ICB103;2026-08-04;3394,08;3397,72;3385,41;3389,34;-0,14;1584479,12
XZAG;C10TR;HRZB00ICB103;2026-08-03;3388,98;3401,47;3379,29;3394,08;0,15;1558988,36
XZAG;C10TR;HRZB00ICB103;2026-07-31;3392,18;3398,29;3381,33;3388,98;-0,09;1533460,44
XZAG;C10TR;HRZB00ICB103;2026-07-30;3388,96;3405,67;3374,88;3392,18;0,15;2250117,74
XZAG;C10TR;HRZB00ICB103;2026-07-29;3397,11;3405,58;3383,01;3387,18;-0,29;1616527,56
XZAG;C10TR;HRZB00ICB103;2026-07-28;3409,58;3432,89;3393,28;3397,11;-0,37;2790621,88
XZAG;C10TR;HRZB00ICB103;2026-07-27;3421,30;3425,67;3398,42;3409,58;-0,27;3407031,84
XZAG;C10TR;HRZB00ICB103;2026-07-24;3379,16;3418,88;3379,16;3418,88;1,12;3378356,58
XZAG;C10TR;HRZB00ICB103;2026-07-23;3353,03;3393,19;3351,12;3380,95;1,03;1255523,64
XZAG;C10TR;HRZB00ICB103;2026-07-22;3368,90;3374,50;3336,14;3346,36;-0,63;3524064,18
XZAG;C10TR;HRZB00ICB103;2026-07-21;3378,09;3384,15;3354,17;3367,69;-0,31;2572444,12
XZAG;C10TR;HRZB00ICB103;2026-07-20;3389,19;3399,25;3373,54;3378,09;-0,19;1188075,22
XZAG;C10TR;HRZB00ICB103;2026-07-17;3411,04;3423,23;3384,46;3384,46;-0,80;1536528,80
XZAG;C10TR;HRZB00ICB103;2026-07-16;3431,75;3431,75;3402,69;3411,86;-0,51;1009273,48
XZAG;C10TR;HRZB00ICB103;2026-07-15;3406,93;3429,33;3406,93;3429,33;0,68;1826148,38
XZAG;C10TR;HRZB00ICB103;2026-07-14;3363,18;3409,05;3363,18;3406,11;1,22;1400935,38
XZAG;C10TR;HRZB00ICB103;2026-07-13;3399,21;3406,28;3360,94;3365,09;-0,98;5311655,04
XZAG;C10TR;HRZB00ICB103;2026-07-10;3399,66;3422,93;3388,18;3398,49;-0,03;1759221,78
XZAG;C10TR;HRZB00ICB103;2026-07-09;3395,85;3420,87;3389,69;3399,66;0,16;1325976,24
XZAG;C10TR;HRZB00ICB103;2026-07-08;3407,17;3420,53;3382,42;3394,07;-0,61;2071613,60
XZAG;C10TR;HRZB00ICB103;2026-07-07;3414,25;3428,75;3401,55;3415,05;0,04;3751647,08
XZAG;C10TR;HRZB00ICB103;2026-07-06;3388,60;3416,41;3385,87;3413,53;0,74;1307742,68
XZAG;C10TR;HRZB00ICB103;2026-07-03;3369,94;3395,86;3364,58;3388,60;0,55;2956045,36
XZAG;C10TR;HRZB00ICB103;2026-07-02;3368,90;3384,03;3364,62;3369,94;0,20;2571196,78
XZAG;C10TR;HRZB00ICB103;2026-07-01;3404,73;3404,73;3363,17;3363,17;-1,12;2089256,78
XZAG;C10TR;HRZB00ICB103;2026-06-30;3382,32;3411,28;3373,71;3401,10;0,51;1487318,82
XZAG;C10TR;HRZB00ICB103;2026-06-29;3392,63;3415,68;3381,52;3383,89;-0,35;2056720,88
XZAG;C10TR;HRZB00ICB103;2026-06-26;3395,33;3411,17;3376,45;3395,92;0,01;1478365,18
XZAG;C10TR;HRZB00ICB103;2026-06-25;3371,86;3395,68;3370,53;3395,68;0,84;1138887,52
XZAG;C10TR;HRZB00ICB103;2026-06-24;3394,20;3398,83;3357,75;3367,41;-0,79;2086308,22
XZAG;C10TR;HRZB00ICB103;2026-06-23;3424,66;3435,26;3339,20;3394,20;0,29;2139139,96
XZAG;C10TR;HRZB00ICB103;2026-06-19;3350,39;3388,28;3335,53;3384,52;1,02;3867803,26
XZAG;C10TR;HRZB00ICB103;2026-06-18;3357,33;3362,76;3327,86;3350,39;-0,04;2807610,52
XZAG;C10TR;HRZB00ICB103;2026-06-17;3332,49;3362,38;3325,82;3351,78;0,58;2900652,52
XZAG;C10TR;HRZB00ICB103;2026-06-16;3308,21;3332,49;3306,17;3332,49;0,73;2463944,90
XZAG;C10TR;HRZB00ICB103;2026-06-15;3294,92;3327,93;3294,92;3308,21;0,54;2215570,62
XZAG;C10TR;HRZB00ICB103;2026-06-12;3255,81;3295,96;3255,81;3290,59;1,07;1952625,72
XZAG;C10TR;HRZB00ICB103;2026-06-11;3256,64;3264,26;3252,73;3255,81;-0,02;756546,02
XZAG;C10TR;HRZB00ICB103;2026-06-10;3283,83;3288,31;3248,14;3256,47;-0,88;1240779,76
XZAG;C10TR;HRZB00ICB103;2026-06-09;3244,26;3285,48;3244,26;3285,31;1,27;1817039,56
XZAG;C10TR;HRZB00ICB103;2026-06-08;3257,60;3257,60;3225,14;3244,26;-0,49;2201371,20
XZAG;C10TR;HRZB00ICB103;2026-06-05;3260,54;3284,41;3253,52;3260,29;0,04;4029375,54
XZAG;C10TR;HRZB00ICB103;2026-06-03;3263,03;3281,95;3258,97;3258,97;-0,12;4332332,58
XZAG;C10TR;HRZB00ICB103;2026-06-02;3211,00;3276,97;3204,85;3263,03;1,62;5554180,28
XZAG;C10TR;HRZB00ICB103;2026-06-01;3171,39;3215,58;3171,39;3211,00;1,20;5013963,68
XZAG;C10TR;HRZB00ICB103;2026-05-29;3130,61;3172,98;3129,27;3172,98;1,40;3262969,68
