mic;symbol;isin;date;trading_model_id;open_price;high_price;low_price;last_price;vwap_price;change_prev_close_percentage;num_trades;volume;turnover;price_currency;turnover_currency
XZAG;HT;HRHT00RA0005;2026-08-07;CT;40,10;40,30;39,90;40,00;39,988645980254;0,00;31;1418,00000;56703,90;EUR;EUR
XZAG;HT;HRHT00RA0005;2026-08-06;CT;40,10;40,30;40,00;40,00;40,145148514851;0,00;26;1010,00000;40546,60;EUR;EUR
XZAG;HT;HRHT00RA0005;2026-08-04;CT;40,10;40,10;40,00;40,00;40,044776119403;-0,25;19;737,00000;29513,00;EUR;EUR
XZAG;HT;HRHT00RA0005;2026-08-03;CT;40,10;40,30;40,00;40,10;40,128033472803;0,50;25;1673,00000;67134,20;EUR;EUR
XZAG;HT;HRHT00RA0005;2026-07-31;CT;40,00;40,20;39,90;39,90;40,023370786517;-0,50;11;445,00000;17810,40;EUR;EUR
XZAG;HT;HRHT00RA0005;2026-07-30;CT;40,20;40,40;40,00;40,10;40,158539642745;0,00;37;3191,00000;128145,90;EUR;EUR
XZAG;HT;HRHT00RA0005;2026-07-29;CT;40,30;40,50;40,00;40,10;40,183094414236;-0,74;22;2023,00000;81290,40;EUR;EUR
XZAG;HT;HRHT00RA0005;2026-07-28;CT;40,70;40,70;40,40;40,40;40,596807953951;-0,74;32;1911,00000;77580,50;EUR;EUR
XZAG;HT;HRHT00RA0005;2026-07-27;CT;41,20;41,20;40,50;40,70;40,626232948583;-0,73;24;953,00000;38716,80;EUR;EUR
XZAG;HT;HRHT00RA0005;2026-07-24;CT;40,60;41,00;40,40;41,00;40,857825751735;1,74;26;2594,00000;105985,20;EUR;EUR
XZAG;HT;HRHT00RA0005;2026-07-23;CT;40,40;40,40;40,30;40,30;40,350220848057;-0,25;33;2264,00000;91352,90;EUR;EUR
XZAG;HT;HRHT00RA0005;2026-07-22;CT;41,00;41,00;40,40;40,40;40,685670329670;-0,74;38;2275,00000;92559,90;EUR;EUR
XZAG;HT;HRHT00RA0005;2026-07-21;CT;40,50;40,70;40,40;40,70;40,573003472222;0,49;28;1152,00000;46740,10;EUR;EUR
XZAG;HT;HRHT00RA0005;2026-07-20;CT;40,80;40,80;40,50;40,50;40,541433278418;0,00;16;1214,00000;49217,30;EUR;EUR
XZAG;HT;HRHT00RA0005;2026-07-17;CT;40,60;40,80;40,40;40,50;40,481053649106;-0,25;26;2069,00000;83755,30;EUR;EUR
XZAG;HT;HRHT00RA0005;2026-07-16;CT;40,80;41,00;40,60;40,60;40,741311475410;-0,98;32;2135,00000;86982,70;EUR;EUR
XZAG;HT;HRHT00RA0005;2026-07-15;CT;41,00;41,40;40,80;41,00;40,923911747168;0,00;24;1677,00000;68629,40;EUR;EUR
XZAG;HT;HRHT00RA0005;2026-07-14;CT;40,60;41,00;40,50;41,00;40,693313298272;0,74;20;1331,00000;54162,80;EUR;EUR
XZAG;HT;HRHT00RA0005;2026-07-13;CT;41,40;41,40;40,60;40,70;40,918884369553;-0,97;23;1721,00000;70421,40;EUR;EUR
XZAG;HT;HRHT00RA0005;2026-07-10;BLOCK;;41,00;41,00;41,00;41,000000000000;;1;30000,00000;1230000,00;EUR;EUR
XZAG;HT;HRHT00RA0005;2026-07-10;CT;41,10;41,60;41,00;41,10;41,362679955703;-0,48;19;1806,00000;74701,00;EUR;EUR
XZAG;HT;HRHT00RA0005;2026-07-09;BLOCK;;41,00;41,00;41,00;41,000000000000;;1;27916,00000;1144556,00;EUR;EUR
XZAG;HT;HRHT00RA0005;2026-07-09;CT;41,40;41,80;41,10;41,30;41,458083832335;1,23;10;1336,00000;55388,00;EUR;EUR
XZAG;HT;HRHT00RA0005;2026-07-08;CT;41,40;41,90;40,80;40,80;41,130668604651;-2,63;32;2064,00000;84893,70;EUR;EUR
XZAG;HT;HRHT00RA0005;2026-07-07;CT;41,00;41,90;40,90;41,90;41,351470588235;0,96;27;2448,00000;101228,40;EUR;EUR
