mic;symbol;isin;date;trading_model_id;open_price;high_price;low_price;last_price;vwap_price;change_prev_close_percentage;num_trades;volume;turnover;price_currency;turnover_currency
XZAG;KOEI;HRKOEIRA0009;2026-09-04;CT;1030,00;1034,00;1028,00;1034,00;1030,7375000000;0,39;35;160,00000;164918,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-09-03;CT;1020,00;1030,00;1020,00;1030,00;1022,2657342657;1,38;21;286,00000;292368,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-09-02;CT;1022,00;1022,00;1016,00;1016,00;1018,0562248996;-0,59;37;249,00000;253496,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-09-01;CT;1030,00;1034,00;1020,00;1022,00;1025,3011494253;-0,78;53;435,00000;446006,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-08-31;CT;1032,00;1034,00;1026,00;1030,00;1029,4906367041;-0,39;29;267,00000;274874,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-08-28;CT;1020,00;1034,00;1016,00;1034,00;1026,7371601208;2,38;47;331,00000;339850,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-08-27;CT;1020,00;1020,00;1010,00;1010,00;1016,0000000000;-0,98;90;495,00000;502920,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-08-26;CT;1030,00;1030,00;1016,00;1020,00;1020,8083832335;0,00;56;334,00000;340950,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-08-25;CT;1020,00;1028,00;1020,00;1020,00;1022,1920000000;0,00;42;250,00000;255548,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-08-24;CT;1036,00;1036,00;1016,00;1020,00;1021,8298755187;-1,16;72;482,00000;492522,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-08-21;CT;1040,00;1044,00;1032,00;1032,00;1039,1666666667;-0,77;51;444,00000;461390,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-08-20;CT;1042,00;1042,00;1032,00;1040,00;1038,2633744856;0,00;46;243,00000;252298,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-08-19;CT;1040,00;1052,00;1038,00;1040,00;1047,0000000000;0,19;118;850,00000;889950,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-08-18;BLOCK;;1014,00;1014,00;1014,00;1014,0000000000;;1;391,00000;396474,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-08-18;CT;1016,00;1038,00;1016,00;1038,00;1028,0047961631;2,37;83;417,00000;428678,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-08-17;BLOCK;;1014,00;1014,00;1014,00;1014,0000000000;;1;1300,00000;1318200,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-08-17;CT;1016,00;1018,00;1012,00;1014,00;1017,2210526316;0,40;27;95,00000;96636,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-08-14;BLOCK;;1012,00;1010,00;1010,00;1010,6451612903;;2;3100,00000;3133000,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-08-14;CT;1014,00;1016,00;1008,00;1010,00;1010,4959443801;0,00;67;863,00000;872058,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-08-13;BLOCK;;1000,00;1000,00;1000,00;1000,0000000000;;1;666,00000;666000,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-08-13;CT;1008,00;1014,00;1006,00;1010,00;1011,1363636364;0,20;31;220,00000;222450,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-08-12;CT;1020,00;1020,00;1000,00;1008,00;1005,2083333333;-0,20;115;960,00000;965000,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-08-11;CT;1012,00;1020,00;1010,00;1010,00;1013,9933993399;0,00;104;606,00000;614480,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-08-10;BLOCK;;1010,00;1010,00;1010,00;1010,0000000000;;1;1000,00000;1010000,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-08-10;CT;1016,00;1018,00;1010,00;1010,00;1010,7519294377;-0,59;175;1814,00000;1833504,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-08-07;BLOCK;;1008,00;1008,00;1008,00;1008,0000000000;;1;300,00000;302400,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-08-07;CT;1012,00;1016,00;1006,00;1016,00;1009,4600321027;0,79;269;3115,00000;3144468,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-08-06;BLOCK;;1010,00;1008,00;1010,00;1009,7049180328;;2;3050,00000;3079600,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-08-06;CT;1010,00;1014,00;1006,00;1008,00;1009,1889204545;0,20;169;1408,00000;1420938,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-08-04;CT;1016,00;1016,00;1006,00;1006,00;1009,6655112652;-0,40;159;1154,00000;1165154,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-08-03;CT;1018,00;1020,00;1006,00;1010,00;1011,2376514445;0,00;157;1073,00000;1085058,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-07-31;BLOCK;;1010,00;1010,00;1010,00;1010,0000000000;;1;1545,00000;1560450,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-07-31;CT;1014,00;1018,00;1006,00;1010,00;1011,7575757576;-0,79;123;858,00000;868088,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-07-30;CT;1010,00;1026,00;1006,00;1018,00;1015,0486163052;1,19;188;1337,00000;1357120,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-07-29;BLOCK;;1000,00;1000,00;1000,00;1000,0000000000;;3;2220,00000;2220000,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-07-29;CT;1004,00;1010,00;994,00;1006,00;1001,8000000000;0,40;110;990,00000;991782,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-07-28;CT;1008,00;1016,00;999,00;1002,00;1001,8012205754;0,20;135;1147,00000;1149066,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-07-27;CT;1028,00;1030,00;995,00;1000,00;1006,5735505510;-2,34;262;2087,00000;2100719,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-07-24;CT;1018,00;1026,00;1014,00;1024,00;1020,7790973872;1,39;169;1263,00000;1289244,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-07-23;BLOCK;;998,00;998,00;998,00;998,0000000000;;1;314,00000;313372,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-07-23;CT;987,00;1020,00;987,00;1010,00;1006,7247191011;3,48;129;534,00000;537591,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-07-22;CT;991,00;998,00;964,00;976,00;972,66523269456;-1,31;316;2557,00000;2487105,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-07-21;CT;1010,00;1012,00;980,00;989,00;989,96336429309;-1,10;272;1938,00000;1918549,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-07-20;CT;1020,00;1022,00;999,00;1000,00;1005,78500000000;-1,57;100;800,00000;804628,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-07-17;CT;1040,00;1044,00;1016,00;1016,00;1027,11610486890;-1,55;102;801,00000;822720,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-07-16;CT;1044,00;1044,00;1030,00;1032,00;1036,27160493830;-0,77;70;324,00000;335752,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-07-15;CT;1032,00;1044,00;1020,00;1040,00;1031,20257234730;1,96;159;1244,00000;1282816,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-07-14;CT;978,00;1026,00;976,00;1020,00;1003,78172588830;5,37;141;788,00000;790980,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-07-13;BLOCK;;980,00;965,00;965,00;970,00000000000;;2;1500,00000;1455000,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-07-13;CT;1000,00;1000,00;960,00;968,00;971,29394387001;-3,10;522;4739,00000;4602962,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-07-10;CT;1000,00;1016,00;990,00;999,00;997,02330097087;0,30;203;1030,00000;1026934,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-07-09;CT;1008,00;1008,00;995,00;996,00;1000,80650994580;-0,99;105;553,00000;553446,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-07-08;CT;1010,00;1018,00;997,00;1006,00;1001,18902439020;0,60;118;1148,00000;1149365,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-07-07;CT;1032,00;1048,00;1000,00;1000,00;1011,87976539590;-2,72;249;2046,00000;2070306,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-07-06;CT;1000,00;1032,00;996,00;1028,00;1016,88121546960;2,80;82;362,00000;368111,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-07-03;BLOCK;;1000,00;1000,00;1000,00;1000,00000000000;;1;449,00000;449000,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-07-03;CT;1020,00;1020,00;1000,00;1000,00;1002,09762900980;-0,99;195;1434,00000;1437008,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-07-02;BLOCK;;1012,00;1012,00;1012,00;1012,00000000000;;1;496,00000;501952,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-07-02;CT;1022,00;1026,00;1010,00;1010,00;1011,25031928480;-0,98;126;1566,00000;1583618,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-07-01;CT;1038,00;1044,00;1020,00;1020,00;1026,54270462630;-1,16;119;1124,00000;1153834,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-06-30;CT;1040,00;1040,00;1026,00;1032,00;1032,27083333330;-0,39;98;864,00000;891882,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-06-29;CT;1040,00;1048,00;1030,00;1036,00;1032,11132812500;0,39;85;1024,00000;1056882,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-06-26;BLOCK;;1028,00;1028,00;1028,00;1028,00000000000;;1;348,00000;357744,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-06-26;CT;1028,00;1048,00;1022,00;1032,00;1032,51869158880;1,18;69;428,00000;441918,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-06-25;CT;1012,00;1026,00;1012,00;1020,00;1019,97633136090;0,99;53;338,00000;344752,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-06-24;CT;1024,00;1034,00;1000,00;1010,00;1014,84921230310;-0,98;144;1333,00000;1352794,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-06-23;CT;1036,00;1038,00;1016,00;1020,00;1022,03019744480;-0,78;88;861,00000;879968,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-06-19;CT;1044,00;1044,00;1018,00;1028,00;1026,14246575340;-0,19;148;1460,00000;1498168,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-06-18;CT;1058,00;1058,00;1020,00;1030,00;1031,24517087670;-2,83;157;1346,00000;1388056,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-06-17;CT;1070,00;1074,00;1050,00;1060,00;1059,63970588240;-0,93;130;1088,00000;1152888,00;EUR;EUR
XZAG;KOEI;HRKOEIRA0009;2026-06-16;BLOCK;;1066,00;1066,00;1066,00;1066,00000000000;;1;700,00000;746200,00;EUR;EUR
