mic;symbol;isin;date;trading_model_id;open_price;high_price;low_price;last_price;vwap_price;change_prev_close_percentage;num_trades;volume;turnover;price_currency;turnover_currency
XZAG;PODR;HRPODRRA0004;2026-08-07;CT;157,00;157,00;156,50;156,50;156,88095238095;0,32;6;42,00000;6589,00;EUR;EUR
XZAG;PODR;HRPODRRA0004;2026-08-06;CT;156,00;156,00;156,00;156,00;156,00000000000;1,30;2;8,00000;1248,00;EUR;EUR
XZAG;PODR;HRPODRRA0004;2026-08-04;CT;155,00;155,00;154,00;154,00;154,98522167488;-0,65;12;406,00000;62924,00;EUR;EUR
XZAG;PODR;HRPODRRA0004;2026-08-03;CT;156,00;156,00;155,00;155,00;155,54545454545;-0,96;2;11,00000;1711,00;EUR;EUR
XZAG;PODR;HRPODRRA0004;2026-07-31;CT;156,50;156,50;156,50;156,50;156,50000000000;0,97;1;2,00000;313,00;EUR;EUR
XZAG;PODR;HRPODRRA0004;2026-07-30;CT;155,00;155,00;155,00;155,00;155,00000000000;0,00;9;320,00000;49600,00;EUR;EUR
XZAG;PODR;HRPODRRA0004;2026-07-29;CT;153,00;155,00;153,00;155,00;153,31578947368;0,65;5;95,00000;14565,00;EUR;EUR
XZAG;PODR;HRPODRRA0004;2026-07-28;CT;155,50;157,00;154,00;154,00;155,08665338645;-1,28;23;502,00000;77853,50;EUR;EUR
XZAG;PODR;HRPODRRA0004;2026-07-27;CT;158,50;158,50;156,00;156,00;156,83163265306;-1,58;15;588,00000;92217,00;EUR;EUR
XZAG;PODR;HRPODRRA0004;2026-07-24;CT;156,00;158,50;156,00;158,50;156,91487839771;1,28;15;699,00000;109683,50;EUR;EUR
XZAG;PODR;HRPODRRA0004;2026-07-23;CT;157,00;157,00;156,50;156,50;156,81481481481;-0,32;4;135,00000;21170,00;EUR;EUR
XZAG;PODR;HRPODRRA0004;2026-07-22;CT;157,00;158,00;157,00;157,00;157,51758793970;0,00;8;199,00000;31346,00;EUR;EUR
XZAG;PODR;HRPODRRA0004;2026-07-21;CT;158,50;158,50;157,00;157,00;157,72108843537;-0,63;15;441,00000;69555,00;EUR;EUR
XZAG;PODR;HRPODRRA0004;2026-07-20;CT;159,00;159,00;158,00;158,00;158,35759493671;-0,63;10;316,00000;50041,00;EUR;EUR
XZAG;PODR;HRPODRRA0004;2026-07-17;CT;159,00;159,00;159,00;159,00;159,00000000000;-0,63;1;10,00000;1590,00;EUR;EUR
XZAG;PODR;HRPODRRA0004;2026-07-16;CT;160,00;160,00;158,00;160,00;158,12217194570;0,00;6;221,00000;34945,00;EUR;EUR
XZAG;PODR;HRPODRRA0004;2026-07-15;CT;160,50;160,50;160,00;160,00;160,25000000000;-0,31;2;20,00000;3205,00;EUR;EUR
XZAG;PODR;HRPODRRA0004;2026-07-14;CT;161,00;161,50;159,50;160,50;160,16971544715;-0,62;10;492,00000;78803,50;EUR;EUR
XZAG;PODR;HRPODRRA0004;2026-07-13;CT;161,00;162,00;161,00;161,50;161,67241379310;-0,31;12;754,00000;121901,00;EUR;EUR
XZAG;PODR;HRPODRRA0004;2026-07-10;CT;162,50;163,00;162,00;162,00;162,28064516129;-0,61;9;155,00000;25153,50;EUR;EUR
XZAG;PODR;HRPODRRA0004;2026-07-09;CT;162,00;163,00;162,00;163,00;162,68304843305;0,31;9;702,00000;114203,50;EUR;EUR
XZAG;PODR;HRPODRRA0004;2026-07-08;CT;162,00;162,50;160,00;162,50;160,94657534247;-0,31;12;730,00000;117491,00;EUR;EUR
XZAG;PODR;HRPODRRA0004;2026-07-07;CT;158,50;163,00;158,50;163,00;160,55585106383;2,52;14;564,00000;90553,50;EUR;EUR
XZAG;PODR;HRPODRRA0004;2026-07-06;CT;157,00;159,00;156,00;159,00;157,95880149813;0,63;8;267,00000;42175,00;EUR;EUR
XZAG;PODR;HRPODRRA0004;2026-07-03;CT;157,00;159,00;155,50;158,00;157,17769376181;1,28;10;529,00000;83147,00;EUR;EUR
XZAG;PODR;HRPODRRA0004;2026-07-02;CT;157,00;157,00;155,50;156,00;155,60000000000;0,00;6;105,00000;16338,00;EUR;EUR
